"","NewOffense$playerName","Pos"
"1557","Jeff Teague","PG"
"1566","Taj Gibson","PF"
"1575","Jamal Crawford","SG"
"1584","Marcus Georges-Hunt","SG"
"1588","Shabazz Muhammad","SF"
"1597","Aaron Brooks","PG"
"1600","Doug McDermott","SF"
"1608","Kristaps Porzingis","PF"
"1616","Kyle OQuinn","C"
"1624","Enes Kanter","C"
"1632","Courtney Lee","SG"
"1640","Lance Thomas","PF"
"1646","Willy Hernangomez","C"
"1651","Frank Ntilikina","PG"
"1657","Tim Hardaway","SG"
"1665","Ron Baker","SG"
"1668","Damyean Dotson","SG"
"1673","Michael Beasley","PF"
"1680","Ramon Sessions","PG"
"1684","Jarrett Jack","PG"
"1690","Paul George","SF"
"1698","Carmelo Anthony","SF"
"1706","Russell Westbrook","PG"
"1714","Steven Adams","C"
"1722","Jerami Grant","SF"
"1730","Josh Huestis","PF"
"1737","Alex Abrines","SG"
"1745","Patrick Patterson","PF"
"1753","Raymond Felton","PG"
"1761","Andre Roberson","SF"
"1769","Dakari Johnson","C"
"1772","Nick Collison","PF"
"1773","Terrance Ferguson","SG"
"1780","Nikola Vucevic","C"
"1789","Terrence Ross","SG"
"1798","Aaron Gordon","PF"
"1805","Elfrid Payton","PG"
"1807","Mario Hezonja","SF"
"1815","Bismack Biyombo","C"
"1824","D.J. Augustin","PG"
"1832","Evan Fournier","SF"
"1841","Jonathan Isaac","PF"
"1849","Jonathon Simmons","SG"
"1858","Wesley Iwundu","SF"
"1861","Marreese Speights","C"
"1867","Arron Afflalo","SG"
"1873","Khem Birch","C"
"1875","Shelvin Mack","PG"
"1883","Nik Stauskas","SG"
"1885","Joel Embiid","C"
"1893","Robert Covington","SF"
"1902","Jahlil Okafor","C"
"1903","Justin Anderson","SF"
"1908","Richaun Holmes","F-C"
"1909","Ben Simmons","PG"
"1918","Timothe Luwawu-Cabarrot","SF"
"1926","Dario Saric","PF"
"1935","Jerryd Bayless","SG"
"1944","T.J. McConnell","PG"
"1953","Amir Johnson","C"
"1962","J.J. Redick","SG"
"1969","Markelle Fultz","SG"
"1973","Eric Bledsoe","PG"
"1976","T.J. Warren","SF"
"1985","Devin Booker","SG"
"1994","Tyson Chandler","C"
"2003","Troy Daniels","SG"
"2012","Jared Dudley","PF"
"2013","Dragan Bender","PF"
"2022","Marquese Chriss","PF"
"2031","Tyler Ulis","PG"
"2039","Derrick Jones","SF"
"2042","Josh Jackson","SF"
"2051","Mike James","PG"
"2060","Alex Len","C"
"2068","Alec Peters","PF"
"2070","Damian Lillard","PG"
"2079","C.J. McCollum","SG"
"2087","Shabazz Napier","PG"
"2093","Noah Vonleh","PF"
"2095","Jusuf Nurkic","C"
"2104","Al-Farouq Aminu","PF"
"2112","Ed Davis","PF"
"2121","Pat Connaughton","SG"
"2130","Evan Turner","SF"
"2139","Jake Layman","SF"
"2141","Meyers Leonard","PF"
"2143","Maurice Harkless","SF"
"2152","Zach Collins","C"
"2155","Caleb Swanigan","PF"
"2161","Willie Cauley-Stein","C"
"2170","Kosta Koufos","C"
"2179","Garrett Temple","SG"
"2187","Georgios Papagiannis","C"
"2189","Malachi Richardson","SG"
"2195","Skal Labissiere","PF"
"2204","Buddy Hield","SG"
"2213","Justin Jackson","SF"
"2222","Vince Carter","SF"
"2230","Zach Randolph","PF"
"2237","George Hill","PG"
"2244","DeAaron Fox","PG"
"2253","Bogdan Bogdanovic","SG"
"2259","Frank Mason III","PG"
"2264","JaKarr Sampson","SF"
"2266","Kyle Anderson","SF"
"2275","Danny Green","SG"
"2284","LaMarcus Aldridge","PF"
"2293","Dejounte Murray","PG"
"2302","Bryn Forbes","SG"
"2311","Davis Bertans","PF"
"2316","Rudy Gay","SF"
"2325","Derrick White","PG"
"2329","Brandon Paul","SG"
"2338","Joffrey Lauvergne","C"
"2341","Pau Gasol","C"
"2350","Patty Mills","PG"
"2359","Manu Ginobili","SG"
"2367","Lucas Nogueira","C"
"2372","Jonas Valanciunas","C"
"2376","Bruno Caboclo","SF"
"2378","Delon Wright","PG"
"2386","Norman Powell","SG"
"2394","DeMar DeRozan","SG"
"2402","Jakob Poeltl","C"
"2410","Pascal Siakam","PF"
"2417","Fred VanVleet","PG"
"2425","OG Anunoby","SF"
"2433","Alfonzo McKinnie","SF"
"2436","C.J. Miles","SF"
"2443","Kyle Lowry","PG"
"2451","Serge Ibaka","PF"
"2458","Rudy Gobert","C"
"2467","Ricky Rubio","PG"
"2476","Derrick Favors","PF"
"2485","Alec Burks","SG"
"2493","Rodney Hood","SG"
"2500","Raul Neto","PG"
"2504","Joe Johnson","SF"
"2511","Donovan Mitchell","SG"
"2520","Jonas Jerebko","PF"
"2524","Thabo Sefolosha","SF"
"2533","Royce ONeale","SF"
"2536","Ekpe Udoh","C"
"2545","Joe Ingles","SF"
"2554","Marcin Gortat","C"
"2562","Markieff Morris","F"
"2563","John Wall","PG"
"2571","Kelly Oubre Jr.","SF"
"2579","Chris McCullough","PF"
"2580","Ian Mahinmi","C"
"2588","Jason Smith","C"
"2592","Tomas Satoransky","SG"
"2596","Tim Frazier","PG"
"2604","Bradley Beal","SG"
"2612","Otto Porter","SF"
"2619","Mike Scott","PF"
"2627","Jodie Meeks","SG"
"2635","DAngelo Russell","PG"
"2643","Rondae Hollis-Jefferson","SF"
"2652","DeMarre Carroll","SF"
"2660","Sean Kilpatrick","SG"
"2664","Jeremy Lin","PG"
"2665","Timofey Mozgov","C"
"2674","Trevor Booker","PF"
"2682","Allen Crabbe","SG"
"2691","Isaiah Whitehead","PG"
"2692","Caris LeVert","SF"
"2701","Joe Harris","SG"
"2709","Spencer Dinwiddie","PG"
"2718","Quincy Acy","PF"
"2724","Jarrett Allen","C"
"2730","Tyler Zeller","C"
"2734","Jacob Wiley","PF"
"2736","Michael Kidd-Gilchrist","SF"
"2741","Kemba Walker","PG"
"2750","Cody Zeller","PF"
"2755","Jeremy Lamb","SG"
"2764","Frank Kaminsky","C"
"2772","Marvin Williams","PF"
"2781","Dwight Howard","C"
"2790","Treveon Graham","SG"
"2798","Johnny OBryant","PF"
"2803","Malik Monk","SG"
"2812","Dwayne Bacon","SG"
"2821","Julyan Stone","SG"
"2823","Marcus Paige","PG"
"2824","Mangok Mathiang","C"
"2825","Anthony Davis","PF"
"2834","DeMarcus Cousins","C"
"2844","ETwaun Moore","SG"
"2854","Cheick Diallo","PF"
"2860","Jrue Holiday","PG"
"2870","Darius Miller","SF"
"2880","Ian Clark","SG"
"2890","Tony Allen","SG"
"2900","Dante Cunningham","SF"
"2910","Charles Cooke","SG"
"2911","Jameer Nelson","PG"
"2919","Jalen Jones","SF"
"2920","Josh Smith","PF"
