Houston Rockets,HOU,SG,78.4,83.1,79.0,47.8,11.8,9.8,3.2,1.0,5.4,50.0,69.0,5.8,13
Boston Celtics,BOS,SG,68.6,81.5,73.2,43.2,13.6,9.0,3.6,1.6,5.8,41.0,68.0,5.8,14
Orlando Magic,ORL,SG,81.0,81.3,91.1,45.6,11.6,9.2,3.8,1.2,5.2,46.0,91.0,5.8,15
San Antonio Spurs,SAS,SG,83.1,80.3,82.9,37.2,14.2,11.6,5.0,0.4,4.2,42.0,53.0,5.6,16
Utah Jazz,UTA,SG,73.1,78.8,77.7,43.6,12.6,9.4,3.0,0.8,5.6,45.0,79.0,5.0,17
Washington Wizards,WAS,SG,79.6,78.8,78.3,43.8,10.4,8.8,4.6,1.4,7.4,40.0,84.0,6.4,18
Denver Nuggets,DEN,SG,80.1,77.8,80.1,39.4,10.6,11.4,4.4,1.0,4.6,51.0,64.0,5.4,19
Miami Heat,MIA,SG,77.4,74.7,78.3,43.0,14.2,6.0,3.0,0.4,4.6,39.0,85.0,4.4,20
Atlanta Hawks,ATL,SG,88.2,74.2,81.3,38.2,11.6,8.4,4.8,1.0,4.4,40.0,71.0,5.4,21
Portland Trail Blazers,POR,SG,72.7,74.2,76.7,38.2,13.6,6.8,4.0,1.6,3.0,44.0,87.0,4.8,22
Oklahoma City Thunder,OKC,SG,70.7,71.9,75.8,38.8,12.6,8.0,3.6,1.0,6.2,40.0,84.0,7.6,23
Milwaukee Bucks,MIL,SG,66.9,65.2,66.1,39.2,11.2,5.0,2.8,1.0,5.6,48.0,85.0,6.2,24
Sacramento Kings,SAC,SG,67.8,64.7,63.5,31.6,11.0,10.0,3.0,0.4,4.0,45.0,73.0,5.0,25
Los Angeles Lakers,LAL,SG,71.5,64.6,66.6,36.8,10.6,6.0,3.4,0.8,4.0,38.0,71.0,5.8,26
Chicago Bulls,CHI,SG,69.2,61.8,69.1,34.6,11.4,7.8,2.0,-,4.6,48.0,62.0,5.4,27
Los Angeles Clippers,LAC,SG,67.9,61.5,73.7,28.6,11.8,8.4,2.6,1.2,2.4,39.0,87.0,4.8,28
Dallas Mavericks,DAL,SG,73.9,59.5,64.0,31.8,11.4,5.8,2.6,0.8,4.4,43.0,72.0,4.2,29
Golden State Warriors,GSW,SG,69.7,57.8,61.9,30.4,7.8,6.0,4.4,1.0,3.6,39.0,51.0,4.4,30
Los Angeles Clippers,LAC,SF,85.4,114.9,91.1,62.0,21.2,11.2,4.2,1.8,7.0,58.0,62.0,6.0,1
Los Angeles Lakers,LAL,SF,80.6,97.2,88.7,51.6,19.8,8.2,4.0,1.2,3.6,46.0,75.0,5.6,2
New York Knicks,NYK,SF,81.0,96.9,79.6,55.6,15.0,9.6,3.4,2.0,8.6,48.0,80.0,5.8,3
Houston Rockets,HOU,SF,80.2,94.5,88.1,52.4,14.8,10.6,4.2,1.4,5.4,50.0,73.0,7.6,4
Detroit Pistons,DET,SF,78.0,89.6,82.4,44.0,16.4,10.0,4.2,2.2,5.2,47.0,67.0,5.4,5
Dallas Mavericks,DAL,SF,71.3,88.8,78.3,45.4,18.6,6.8,4.2,2.0,6.0,43.0,81.0,5.4,6
Golden State Warriors,GSW,SF,76.3,87.8,80.9,43.6,16.0,8.4,6.0,1.2,5.0,38.0,60.0,6.2,7
Charlotte Hornets,CHA,SF,94.4,85.4,98.8,48.6,16.0,8.4,2.2,1.0,6.2,47.0,82.0,5.0,8
Chicago Bulls,CHI,SF,87.2,85.2,83.6,48.2,19.0,7.0,2.2,0.4,5.6,50.0,69.0,6.2,9
Denver Nuggets,DEN,SF,73.9,81.1,78.7,41.6,14.6,7.6,4.0,2.4,5.4,50.0,42.0,6.0,10
Phoenix Suns,PHX,SF,79.2,80.7,75.9,46.6,15.8,5.2,3.0,1.2,4.2,48.0,78.0,4.4,11
Utah Jazz,UTA,SF,73.4,80.3,75.8,43.6,16.6,7.0,2.8,1.2,5.6,40.0,81.0,5.2,12
Portland Trail Blazers,POR,SF,79.3,80.2,84.3,37.6,15.8,7.6,5.0,1.8,3.8,43.0,69.0,4.4,13
Milwaukee Bucks,MIL,SF,79.8,79.7,77.9,42.4,16.2,7.0,3.2,1.2,4.6,45.0,89.0,5.8,14
Brooklyn Nets,BKN,SF,88.3,77.3,75.6,40.6,17.8,5.8,3.2,1.2,5.6,47.0,78.0,6.6,15
Sacramento Kings,SAC,SF,70.3,76.8,78.8,37.0,16.2,8.2,2.8,1.8,5.0,44.0,65.0,3.8,16
Cleveland Cavaliers,CLE,SF,92.2,76.8,90.1,38.0,15.2,6.8,3.6,1.8,4.0,46.0,67.0,3.6,17
Boston Celtics,BOS,SF,83.4,76.3,78.7,42.8,16.6,4.4,2.6,1.8,4.0,50.0,57.0,5.2,18
San Antonio Spurs,SAS,SF,75.4,75.2,75.9,36.2,14.8,7.2,4.0,1.4,2.8,41.0,67.0,2.8,19
Toronto Raptors,TOR,SF,69.7,74.0,66.6,38.8,14.8,7.4,3.4,0.4,6.2,47.0,87.0,4.0,20
Minnesota Timberwolves,MIN,SF,75.0,69.7,68.9,41.2,12.4,5.4,2.0,2.0,4.8,48.0,75.0,6.2,21
Indiana Pacers,IND,SF,81.5,69.3,75.8,35.6,12.6,8.2,2.4,1.2,5.8,41.0,73.0,3.2,22
Philadelphia 76ers,PHI,SF,63.0,69.1,67.0,39.0,13.0,4.4,2.6,1.8,3.8,57.0,74.0,3.8,23
Memphis Grizzlies,MEM,SF,65.3,68.3,69.3,34.6,14.8,5.6,3.8,0.6,3.4,47.0,81.0,4.6,24
Atlanta Hawks,ATL,SF,84.4,66.4,83.6,37.8,12.8,4.2,2.8,1.4,5.6,48.0,58.0,4.2,25
Miami Heat,MIA,SF,68.4,63.8,57.9,33.8,14.4,5.2,2.0,0.8,3.2,40.0,94.0,3.4,26
New Orleans Pelicans,NOP,SF,71.5,61.1,70.5,33.0,9.6,6.8,3.2,0.6,5.0,38.0,66.0,4.0,27
Orlando Magic,ORL,SF,79.1,59.6,77.1,33.3,11.3,6.3,1.5,0.8,1.7,40.0,62.0,4.7,28
Washington Wizards,WAS,SF,80.2,57.3,79.2,29.4,11.0,6.4,2.8,1.2,4.2,35.0,61.0,6.8,29
