"","NewOffense$playerName","Pos"
"6604","Matt Barnes","SF"
"6678","Ian Clark","SG"
"6755","Stephen Curry","PG"
"6834","Kevin Durant","SF"
"6896","Draymond Green","PF"
"6972","Andre Iguodala","SF"
"7048","Damian Jones","C"
"7058","Shaun Livingston","PG"
"7134","Kevon Looney","C"
"7187","James Michael McAdoo","PF"
"7239","Patrick McCaw","SG"
"7310","JaVale McGee","C"
"7387","Zaza Pachulia","C"
"7457","Klay Thompson","SG"
"7535","Anderson Varejao","C"
"7549","Briante Weber","PG"
"7569","David West","C"
"7637","Ryan Anderson","PF"
"7709","Trevor Ariza","SF"
"7789","Patrick Beverley","SG"
"7856","Corey Brewer","SF"
"7938","Bobby Brown","PG"
"7963","Clint Capela","C"
"8028","Sam Dekker","SF"
"8105","Tyler Ennis","PG"
"8158","Eric Gordon","SG"
"8233","James Harden","PG"
"8314","Montrezl Harrell","C"
"8372","Nene Hilario","C"
"8439","K.J. McDaniels","SF"
"8488","Chinanu Onuaku","C"
"8493","Isaiah Taylor","PG"
"8497","Lou Williams","SG"
"8578","Troy Williams","SF"
"8608","Kyle Wiltjer","PF"
"8622","Lavoy Allen","PF"
"8683","Aaron Brooks","PG"
"8748","Rakeem Christmas","PF"
"8777","Monta Ellis","SG"
"8851","Paul George","SF"
"8926","Al Jefferson","C"
"8992","C.J. Miles","SF"
"9068","Georges Niang","PF"
"9091","Glenn Robinson","SF"
"9160","Kevin Seraphin","PF"
"9209","Lance Stephenson","SG"
"9227","Rodney Stuckey","PG"
"9266","Jeff Teague","PG"
"9348","Myles Turner","C"
"9429","Joe Young","PG"
"9462","Thaddeus Young","PF"
"9536","Alan Anderson","SF"
"9566","Brandon Bass","PF"
"9618","Jamal Crawford","SG"
"9700","Raymond Felton","PG"
"9780","Blake Griffin","PF"
"9841","Brice Johnson","PF"
"9844","Wesley Johnson","SF"
"9912","DeAndre Jordan","C"
"9993","Luc Mbah a Moute","SF"
"10073","Chris Paul","PG"
"10134","Paul Pierce","SF"
"10159","J.J. Redick","SG"
"10237","Austin Rivers","SG"
"10311","Marreese Speights","C"
"10393","Diamond Stone","C"
"10400","Tarik Black","C"
"10467","Jordan Clarkson","SG"
"10549","Luol Deng","SF"
"10605","Marcelo Huertas","PG"
"10628","Brandon Ingram","SF"
"10707","Timofey Mozgov","C"
"10761","Larry Nance","PF"
"10824","David Nwaba","SG"
"10844","Julius Randle","PF"
"10918","Thomas Robinson","PF"
"10966","DAngelo Russell","PG"
"11029","Metta World Peace","SF"
"11054","Nick Young","SG"
"11114","Ivica Zubac","C"
"11152","Tony Allen","SG"
"11223","Wade Baldwin","PG"
"11256","Vince Carter","SF"
"11329","Mike Conley","PG"
"11398","Troy Daniels","SG"
"11465","Deyonta Davis","C"
"11501","Toney Douglas","PG"
"11525","James Ennis","SF"
"11589","Marc Gasol","C"
"11663","JaMychal Green","PF"
"11740","Andrew Harrison","PG"
"11812","Jarell Martin","PF"
"11854","Chandler Parsons","SF"
"11888","Zach Randolph","PF"
"11961","Wayne Selden","SG"
"11975","Brandan Wright","PF"
"12003","Luke Babbitt","SF"
"12071","Goran Dragic","PG"
"12144","Wayne Ellington","SG"
"12206","Udonis Haslem","C"
"12222","James Johnson","PF"
"12298","Tyler Johnson","PG"
"12371","Rodney McGruder","SG"
"12449","Josh McRoberts","PF"
"12471","Willie Reed","C"
"12542","Josh Richardson","SG"
"12595","Dion Waiters","SG"
"12641","Okaro White","PF"
"12676","Hassan Whiteside","C"
"12753","Justise Winslow","SF"
"12771","Giannis Antetokounmpo","SF"
"12851","Michael Beasley","PF"
"12907","Malcolm Brogdon","SG"
"12982","Matthew Dellavedova","PG"
"13058","Spencer Hawes","PF"
"13112","John Henson","C"
"13170","Terrence Jones","PF"
"13224","Thon Maker","C"
"13281","Khris Middleton","SF"
"13310","Greg Monroe","C"
"13391","Steve Novak","PF"
"13399","Jabari Parker","PF"
"13450","Gary Payton","PG"
"13456","Miles Plumlee","C"
"13501","Tony Snell","SG"
"13581","Mirza Teletovic","PF"
"13651","Jason Terry","SG"
"13725","Axel Toupane","SF"
"13729","Rashad Vaughn","SG"
"13770","Cole Aldrich","C"
"13832","Nemanja Bjelica","PF"
"13897","Omri Casspi","SF"
"13933","Gorgui Dieng","PF"
"14015","Kris Dunn","PG"
"14093","Jordan Hill","C"
"14100","Tyus Jones","PG"
"14160","Zach LaVine","SG"
"14207","John Lucas III","PG"
"14212","Shabazz Muhammad","SF"
"14290","Adreian Payne","PF"
"14308","Ricky Rubio","PG"
"14383","Brandon Rush","SG"
"14430","Karl-Anthony Towns","C"
"14512","Andrew Wiggins","SF"
"14594","Carmelo Anthony","SF"
"14668","Ron Baker","SG"
"14720","Willy Hernangomez","C"
"14792","Justin Holiday","SG"
"14874","Brandon Jennings","PG"
"14955","Mindaugas Kuzminskas","SF"
"15023","Courtney Lee","SG"
"15100","Maurice Ndour","PF"
"15132","Joakim Noah","C"
"15178","Kyle OQuinn","C"
"15257","Marshall Plumlee","C"
"15278","Kristaps Porzingis","PF"
"15344","Chasson Randle","PG"
"15370","Derrick Rose","PG"
"15434","Lance Thomas","PF"
"15480","Sasha Vujacic","SG"
"15522","Alex Abrines","SG"
"15590","Steven Adams","C"
"15670","Semaj Christon","PG"
"15734","Norris Cole","PG"
"15747","Nick Collison","PF"
"15767","Jerami Grant","SF"
"15847","Josh Huestis","PF"
"15849","Enes Kanter","C"
"15921","Joffrey Lauvergne","PF"
"15991","Victor Oladipo","SG"
"16058","Andre Roberson","SF"
"16137","Domantas Sabonis","PF"
"16218","Kyle Singler","SF"
"16250","Russell Westbrook","PG"
"16331","D.J. Augustin","PG"
"16409","Bismack Biyombo","C"
"16490","Anthony Brown","SF"
"16501","Evan Fournier","SG"
"16569","Patricio Garino","SG"
"16574","Marcus Georges-Hunt","SG"
"16579","Aaron Gordon","SF"
"16659","Jeff Green","PF"
"16728","Mario Hezonja","SF"
"16793","Serge Ibaka","PF"
"16872","Jodie Meeks","SG"
"16908","Arinze Onuaku","C"
"16916","Elfrid Payton","PG"
"16998","Terrence Ross","SF"
"17076","Damjan Rudez","SF"
"17121","Nikola Vucevic","C"
"17196","C.J. Watson","PG"
"17258","C.J. Wilcox","SG"
"17280","Stephen Zimmerman","C"
"17299","Jerryd Bayless","PG"
"17302","Robert Covington","SF"
"17369","Joel Embiid","C"
"17400","Justin Harper","PF"
"17403","Gerald Henderson","SG"
"17475","Richaun Holmes","C"
"17532","Shawn Long","C"
"17550","Timothe Luwawu-Cabarrot","SF"
"17619","T.J. McConnell","PG"
"17700","Jahlil Okafor","C"
"17750","Alex Poythress","PF"
"17756","Sergio Rodriguez","PG"
"17824","Dario Saric","PF"
"17905","Tiago Splitter","C"
"17913","Nik Stauskas","SG"
"17993","Hollis Thompson","SG"
"18033","Leandro Barbosa","SG"
"18100","Dragan Bender","PF"
"18143","Eric Bledsoe","PG"
"18209","Devin Booker","SG"
"18287","Tyson Chandler","C"
"18334","Marquese Chriss","PF"
"18416","Jared Dudley","PF"
"18480","Jarell Eddie","SF"
"18485","John Jenkins","SG"
"18489","Derrick Jones","SF"
"18521","Brandon Knight","SG"
"18575","Alex Len","C"
"18652","Elijah Millsap","SG"
"18654","Ronnie Price","PG"
"18668","P.J. Tucker","SF"
"18749","Tyler Ulis","PG"
"18810","T.J. Warren","SF"
"18876","Alan Williams","C"
"18923","Al-Farouq Aminu","SF"
"18984","Pat Connaughton","SG"
"19023","Allen Crabbe","SG"
"19102","Ed Davis","PF"
"19148","Maurice Harkless","SF"
"19225","Jake Layman","SF"
"19260","Meyers Leonard","PF"
"19334","Damian Lillard","PG"
"19409","C.J. McCollum","SG"
"19489","Shabazz Napier","PG"
"19542","Tim Quarterman","SG"
"19558","Evan Turner","SF"
"19623","Noah Vonleh","PF"
"19697","Arron Afflalo","SG"
"19758","Willie Cauley-Stein","C"
"19833","Darren Collison","PG"
"19901","DeMarcus Cousins","C"
"19973","Tyreke Evans","SF"
"20013","Jordan Farmar","PG"
"20015","Langston Galloway","PG"
"20089","Rudy Gay","SF"
"20119","Buddy Hield","SG"
"20201","Kosta Koufos","C"
"20272","Skal Labissiere","PF"
"20305","Ty Lawson","PG"
"20374","Ben McLemore","SG"
"20435","Georgios Papagiannis","C"
"20457","Malachi Richardson","SG"
"20479","Garrett Temple","SG"
"20544","Anthony Tolliver","PF"
"20609","LaMarcus Aldridge","PF"
"20681","Kyle Anderson","SG"
"20753","Joel Anthony","C"
"20772","Davis Bertans","PF"
"20839","Dewayne Dedmon","C"
"20915","Bryn Forbes","SG"
"20951","Pau Gasol","C"
"21015","Manu Ginobili","SG"
"21084","Danny Green","SG"
"21152","Nicolas Laprovittola","PG"
"21170","David Lee","PF"
"21249","Kawhi Leonard","SF"
"21323","Patty Mills","PG"
"21403","Dejounte Murray","PG"
"21441","Tony Parker","PG"
"21504","Jonathon Simmons","SG"
"21582","Bruno Caboclo","SF"
"21591","DeMarre Carroll","SF"
"21663","DeMar DeRozan","SG"
"21737","Cory Joseph","PG"
"21817","Kyle Lowry","PG"
"21877","Lucas Nogueira","C"
"21934","Patrick Patterson","PF"
"21999","Jakob Poeltl","C"
"22053","Norman Powell","SG"
"22129","Pascal Siakam","PF"
"22184","Jared Sullinger","PF"
"22195","Jonas Valanciunas","C"
"22275","Fred VanVleet","PG"
"22312","Delon Wright","PG"
"22339","Joel Bolomboy","PF"
"22351","Alec Burks","SG"
"22393","Boris Diaw","PF"
"22466","Dante Exum","PG"
"22532","Derrick Favors","PF"
"22582","Rudy Gobert","C"
"22663","Gordon Hayward","SF"
"22736","George Hill","PG"
"22785","Rodney Hood","SG"
"22844","Joe Ingles","SF"
"22926","Joe Johnson","SF"
"23004","Trey Lyles","PF"
"23075","Shelvin Mack","PG"
"23130","Raul Neto","PG"
"23170","Jeff Withey","C"
"23221","Bradley Beal","SG"
"23298","Bojan Bogdanovic","SF"
"23379","Trey Burke","PG"
"23436","Marcin Gortat","C"
"23518","Danuel House","SG"
"23519","Sheldon Mac","SG"
"23549","Ian Mahinmi","C"
"23580","Chris McCullough","PF"
"23596","Markieff Morris","PF"
"23672","Andrew Nicholson","PF"
"23710","Daniel Ochefu","C"
"23729","Kelly Oubre","SF"
"23808","Otto Porter","SF"
"23888","Tomas Satoransky","SG"
"23945","Jason Smith","C"
"24019","Marcus Thornton","SG"
"24052","John Wall","PG"
"24130","Anthony Bennett","PF"
"24153","Trevor Booker","PF"
"24224","Spencer Dinwiddie","PG"
"24283","Randy Foye","SG"
"24352","Archie Goodwin","SG"
"24367","Justin Hamilton","C"
"24431","Joe Harris","SG"
"24483","Rondae Hollis-Jefferson","SF"
"24561","Sean Kilpatrick","SG"
"24631","Caris LeVert","SF"
"24688","Jeremy Lin","PG"
"24724","Brook Lopez","C"
"24799","Luis Scola","PF"
"24835","Greivis Vasquez","PG"
"24838","Isaiah Whitehead","PG"
"24911","Nicolas Batum","SG"
"24988","Marco Belinelli","SG"
"25062","Treveon Graham","SG"
"25089","Aaron Harrison","SG"
"25094","Frank Kaminsky","C"
"25169","Michael Kidd-Gilchrist","SF"
"25250","Jeremy Lamb","SG"
"25312","Brian Roberts","PG"
"25353","Ramon Sessions","PG"
"25403","Mike Tobey","C"
"25405","Kemba Walker","PG"
"25484","Marvin Williams","PF"
"25560","Christian Wood","PF"
"25573","Cody Zeller","PF"
"25635","Alexis Ajinca","C"
"25674","Omer Asik","C"
"25705","Jordan Crawford","SG"
"25724","Dante Cunningham","SF"
"25790","Anthony Davis","C"
"25865","Cheick Diallo","PF"
"25882","Tim Frazier","PG"
"25947","Solomon Hill","SF"
"26027","Jrue Holiday","PG"
"26094","Jarrett Jack","PG"
"26096","ETwaun Moore","SG"
"26169","Donatas Motiejunas","PF"
"26203","Reggie Williams","SF"
