"","NewOffense$playerName","Pos"
"1","Kent Bazemore","SF"
"74","DeAndre Bembry","SF"
"112","Jose Calderon","PG"
"153","Malcolm Delaney","PG"
"226","Mike Dunleavy","SF"
"279","Tim Hardaway","SG"
"358","Dwight Howard","C"
"432","Kris Humphries","PF"
"488","Ersan Ilyasova","PF"
"570","Ryan Kelly","PF"
"586","Kyle Korver","SG"
"653","Paul Millsap","PF"
"722","Mike Muscala","C"
"792","Gary Neal","SG"
"794","Lamar Patterson","SG"
"799","Dennis Schroder","PG"
"878","Mike Scott","PF"
"896","Thabo Sefolosha","SF"
"958","Edy Tavares","C"
"960","Taurean Waller-Prince","SF"
"1019","Avery Bradley","SG"
"1074","Jaylen Brown","SF"
"1152","Jae Crowder","SF"
"1224","Gerald Green","SF"
"1271","Al Horford","C"
"1339","Demetrius Jackson","PG"
"1344","Jonas Jerebko","PF"
"1422","Amir Johnson","PF"
"1502","Jordan Mickey","PF"
"1527","Kelly Olynyk","C"
"1602","Terry Rozier","PG"
"1676","Marcus Smart","SG"
"1755","Isaiah Thomas","PG"
"1831","James Young","SG"
"1860","Tyler Zeller","C"
"1911","Jimmy Butler","SF"
"1987","Isaiah Canaan","SG"
"2026","Michael Carter-Williams","PG"
"2071","Cristiano Felicio","C"
"2137","Taj Gibson","PF"
"2215","Jerian Grant","PG"
"2278","R.J. Hunter","SG"
"2281","Joffrey Lauvergne","C"
"2351","Robin Lopez","C"
"2432","Doug McDermott","SF"
"2498","Nikola Mirotic","PF"
"2568","Anthony Morrow","SG"
"2617","Cameron Payne","PG"
"2648","Bobby Portis","PF"
"2712","Rajon Rondo","PG"
"2781","Denzel Valentine","SG"
"2838","Dwyane Wade","SG"
"2898","Paul Zipser","SF"
"2942","Chris Andersen","C"
"2954","Andrew Bogut","C"
"2981","Kay Felder","PG"
"3023","Channing Frye","C"
"3097","Kyrie Irving","PG"
"3169","LeBron James","SF"
"3243","Richard Jefferson","SF"
"3322","Dahntay Jones","SF"
"3323","James Jones","SF"
"3371","DeAndre Liggins","SG"
"3433","Kevin Love","PF"
"3493","Jordan McRae","SG"
"3530","Larry Sanders","C"
"3535","Iman Shumpert","SG"
"3611","J.R. Smith","SG"
"3652","Tristan Thompson","C"
"3730","Deron Williams","PG"
"3794","Derrick Williams","PF"
"3844","Quincy Acy","PF"
"3882","Justin Anderson","SF"
"3957","J.J. Barea","PG"
"3992","Harrison Barnes","PF"
"4071","Ben Bentil","PF"
"4074","Nicolas Brussino","SF"
"4128","Quinn Cook","PG"
"4142","Seth Curry","PG"
"4212","Yogi Ferrell","PG"
"4258","Dorian Finney-Smith","PF"
"4339","Jonathan Gibson","PG"
"4356","A.J. Hammons","C"
"4378","Devin Harris","PG"
"4443","Manny Harris","SG"
"4447","Pierre Jackson","PG"
"4455","Wesley Matthews","SG"
"4528","Salah Mejri","C"
"4601","Nerlens Noel","C"
"4652","Dirk Nowitzki","PF"
"4706","Dwight Powell","C"
"4783","Jarrod Uthoff","PF"
"4792","Darrell Arthur","PF"
"4833","Will Barton","SG"
"4893","Malik Beasley","SG"
"4915","Wilson Chandler","SF"
"4986","Kenneth Faried","PF"
"5047","Danilo Gallinari","SF"
"5110","Alonzo Gee","SF"
"5123","Gary Harris","SG"
"5180","Juan Hernangomez","PF"
"5242","Roy Hibbert","C"
"5290","Nikola Jokic","C"
"5363","Mike Miller","SF"
"5383","Emmanuel Mudiay","PG"
"5438","Jamal Murray","SG"
"5520","Jameer Nelson","PG"
"5595","Jusuf Nurkic","C"
"5660","Johnny OBryant","PF"
"5671","Mason Plumlee","C"
"5752","Jarnell Stokes","C"
"5754","Aron Baynes","C"
"5829","Reggie Bullock","SF"
"5860","Kentavious Caldwell-Pope","SG"
"5936","Andre Drummond","C"
"6017","Henry Ellenson","PF"
"6036","Michael Gbinije","SG"
"6045","Tobias Harris","PF"
"6127","Darrun Hilliard","SG"
"6166","Reggie Jackson","PG"
"6218","Stanley Johnson","SF"
"6295","Jon Leuer","PF"
"6370","Boban Marjanovic","C"
"6405","Marcus Morris","SF"
"6484","Ish Smith","PG"
"6565","Beno Udrih","PG"
