New York Knicks,NYK,SG,71.4,81.2,78.3,42.6,13.6,8.6,4.4,1.4,6.8,41.0,79.0,5.8,13
Denver Nuggets,DEN,SG,79.9,81.2,80.8,40.8,10.2,11.0,5.8,1.0,5.0,49.0,72.0,5.6,14
Charlotte Hornets,CHA,SG,82.6,78.6,85.3,42.4,13.6,11.6,2.0,0.2,5.4,40.0,76.0,5.8,15
Houston Rockets,HOU,SG,76.5,77.9,71.3,44.4,13.4,8.4,3.2,0.6,4.8,46.0,74.0,6.8,16
Oklahoma City Thunder,OKC,SG,70.5,77.5,73.6,43.8,14.4,7.4,3.0,1.2,7.0,43.0,75.0,7.6,17
Phoenix Suns,PHX,SG,77.7,77.3,74.3,43.8,12.8,7.6,3.6,0.8,5.4,43.0,75.0,5.4,18
Indiana Pacers,IND,SG,68.9,76.7,63.2,38.4,9.4,11.8,4.8,0.8,5.2,41.0,57.0,5.4,19
Atlanta Hawks,ATL,SG,88.3,76.6,86.1,41.2,13.2,8.2,3.4,1.0,4.8,45.0,76.0,4.4,20
Chicago Bulls,CHI,SG,73.4,73.6,70.2,39.8,12.4,9.8,3.2,0.2,5.0,47.0,53.0,6.4,21
Los Angeles Lakers,LAL,SG,73.4,72.0,73.3,38.6,13.6,6.8,3.4,1.0,4.2,38.0,81.0,5.2,22
Utah Jazz,UTA,SG,68.7,70.5,70.3,43.4,8.0,8.4,2.6,0.8,6.0,47.0,85.0,5.8,23
Boston Celtics,BOS,SG,63.7,67.2,65.3,38.2,11.4,6.0,3.4,1.0,3.6,39.0,79.0,6.2,24
Portland Trail Blazers,POR,SG,71.7,66.8,76.8,34.4,11.2,6.2,3.8,1.6,2.2,47.0,62.0,3.4,25
Milwaukee Bucks,MIL,SG,66.3,63.5,64.3,36.4,11.2,4.6,3.4,1.2,4.2,48.0,79.0,6.0,26
Dallas Mavericks,DAL,SG,75.9,63.5,64.1,31.2,12.2,7.8,3.2,0.8,4.2,41.0,71.0,5.4,27
Golden State Warriors,GSW,SG,69.9,61.6,64.6,32.2,8.4,7.2,4.6,0.6,3.6,42.0,53.0,4.6,28
Los Angeles Clippers,LAC,SG,66.4,59.8,71.2,31.2,9.0,7.8,3.2,0.8,4.0,42.0,86.0,4.8,29
Sacramento Kings,SAC,SG,66.7,51.1,66.5,26.2,8.0,7.8,2.0,0.4,3.4,43.0,51.0,3.2,30
Los Angeles Clippers,LAC,SF,82.0,102.1,86.3,55.2,17.2,9.8,4.4,2.0,7.2,56.0,63.0,4.8,1
Charlotte Hornets,CHA,SF,93.5,94.3,99.2,51.0,19.2,9.6,2.2,1.4,5.8,46.0,76.0,5.8,2
Cleveland Cavaliers,CLE,SF,93.5,93.5,90.8,49.0,17.2,8.8,3.6,1.8,6.4,47.0,76.0,4.4,3
Denver Nuggets,DEN,SF,76.2,92.8,82.0,44.0,18.6,9.6,4.6,2.8,5.2,51.0,53.0,7.4,4
Portland Trail Blazers,POR,SF,82.3,91.6,79.9,44.6,18.8,7.4,5.0,2.4,3.8,48.0,76.0,4.8,5
Phoenix Suns,PHX,SF,80.3,89.8,82.2,52.4,17.2,5.4,3.8,1.2,5.8,46.0,77.0,5.0,6
New York Knicks,NYK,SF,80.6,88.6,78.2,48.0,14.6,9.8,3.8,1.2,7.8,44.0,77.0,5.4,7
Los Angeles Lakers,LAL,SF,76.6,87.0,82.3,47.8,18.0,6.6,3.4,1.0,3.8,45.0,85.0,5.2,8
Sacramento Kings,SAC,SF,72.1,86.9,79.2,45.0,16.8,8.2,3.6,1.6,6.6,46.0,57.0,3.6,9
Houston Rockets,HOU,SF,78.8,86.2,88.4,47.8,16.0,8.4,3.6,1.0,5.2,47.0,77.0,6.8,10
Dallas Mavericks,DAL,SF,72.3,85.1,76.3,47.4,16.2,6.6,3.4,1.6,7.2,49.0,71.0,5.6,11
